Kota,Tahun,DBH_PAJAK,DBH_SDA,DBH_Lainnya,DAU_Grant,DAU_Earmark,DAK_Fisik,DAK_Nonfisik,PAD,ICT,bm_pendidikan,bm_kesehatan,bm_perumahan,bm_lingkungan,bm_ekonomi,bm_infrastruktur,bm_pariwisata,bm_perlindungan_sosial,KEMISKINAN,PENGANGGURAN,KETIMPANGAN,IPM,PE
Kota Sungai Penuh,2020,73.32,49.91,48.84,120.35,70.63,105.56,66.92,156.69,100.0,252.34,220.06,219.28,244.78,70.39,199.42,111.59,69.67,17.97,4.08,0.32,72.11,4.49
Kota Sungai Penuh,2021,99.07,82.62,36.03,163.54,95.4,72.5,102.91,161.42,73.37,252.53,68.05,201.44,202.42,71.95,267.42,65.81,200.94,12.32,3.58,0.39,67.66,6.61
Kota Sungai Penuh,2022,82.19,71.43,56.7,211.9,122.42,129.64,138.18,289.61,88.04,266.77,57.66,141.15,224.91,92.96,272.71,82.93,90.98,9.71,6.77,0.47,84.74,2.24
Kota Sungai Penuh,2023,113.89,57.73,61.84,227.67,123.94,123.16,152.65,226.1,69.97,278.31,114.42,104.47,259.54,179.52,162.26,264.69,233.99,17.9,5.85,0.37,71.35,2.74
Kota Sungai Penuh,2024,93.34,57.73,80.88,180.34,129.96,130.92,123.49,272.69,87.45,177.84,165.66,297.01,250.7,103.5,164.83,208.45,125.31,8.45,6.87,0.37,76.54,3.22
Kota Palembang,2014,101.52,66.69,52.19,186.96,156.37,110.12,165.06,337.44,80.81,175.38,267.07,163.5,290.23,120.82,69.24,113.3,165.85,13.57,4.0,0.37,79.94,4.41
Kota Palembang,2015,97.02,94.32,82.34,249.54,104.88,149.29,108.93,217.45,82.61,249.57,231.79,222.07,183.98,150.08,217.69,188.82,199.86,18.11,4.75,0.35,60.02,7.07
Kota Palembang,2016,175.72,110.5,85.78,210.95,142.95,132.45,107.22,291.35,95.95,212.49,235.68,85.14,172.12,252.97,255.31,181.89,92.82,18.81,3.28,0.36,65.19,4.08
Kota Palembang,2017,180.27,91.44,69.25,260.76,109.05,140.49,135.08,301.69,66.01,225.49,156.37,171.4,150.47,53.47,111.16,213.86,235.41,19.99,8.39,0.38,80.69,5.93
Kota Palembang,2018,98.93,67.63,64.35,241.04,155.07,183.44,144.96,288.27,92.49,248.95,136.48,56.88,88.42,212.34,155.33,108.3,125.66,5.75,3.24,0.41,70.95,6.26
Kota Palembang,2019,134.38,60.78,83.88,259.05,121.52,199.67,128.7,372.41,89.8,272.5,142.76,176.36,193.15,217.22,259.71,266.1,215.59,9.22,4.21,0.38,80.04,5.52
Kota Palembang,2020,189.11,67.56,95.74,241.63,181.19,169.13,208.38,299.71,66.71,134.5,296.91,291.0,119.25,249.66,269.28,127.34,89.57,5.99,3.13,0.47,73.12,4.14
Kota Palembang,2021,154.95,106.08,64.65,371.75,209.36,242.67,158.85,404.57,77.9,143.9,60.03,146.05,280.33,283.19,110.79,223.53,222.03,15.18,5.22,0.47,83.68,5.46
Kota Palembang,2022,236.04,105.53,86.98,402.22,137.13,232.92,231.59,440.5,79.39,73.5,266.76,59.75,195.8,55.03,187.64,54.03,82.05,19.85,5.18,0.37,61.97,4.05
Kota Palembang,2023,153.27,102.51,111.49,356.79,144.12,166.82,234.42,258.12,99.85,194.57,194.67,57.74,198.21,88.45,98.12,143.16,156.34,6.39,4.14,0.42,63.76,2.5
Kota Palembang,2024,220.66,152.76,95.07,376.89,253.49,267.1,267.51,481.34,87.26,58.99,159.65,147.0,138.73,271.54,75.47,137.93,111.8,18.57,8.72,0.45,61.39,7.96
Kota Prabumulih,2014,133.54,73.15,56.29,231.56,152.17,153.26,105.47,271.5,75.86,166.4,231.31,90.01,63.0,164.63,277.78,185.87,237.09,9.07,4.33,0.34,68.55,2.76
Kota Prabumulih,2015,153.71,52.04,72.82,212.52,108.12,125.32,109.13,267.99,95.26,185.66,171.67,55.84,57.94,191.15,255.13,68.18,115.51,11.51,4.15,0.32,73.67,2.43
Kota Prabumulih,2016,123.88,113.66,76.45,270.23,167.86,144.41,152.74,349.98,67.39,121.64,268.36,239.05,155.83,215.76,240.01,247.53,270.43,10.99,5.29,0.3,80.66,7.27
Kota Prabumulih,2017,106.76,104.09,70.76,204.81,191.45,117.42,103.16,308.33,80.75,197.71,275.18,164.63,71.14,219.77,62.19,104.45,272.96,16.08,3.23,0.43,73.31,3.81
Kota Prabumulih,2018,103.99,94.72,57.48,260.59,161.3,175.92,111.72,349.38,81.52,57.63,155.43,122.31,201.71,282.94,260.93,219.26,99.11,11.47,5.43,0.31,61.32,5.9
Kota Prabumulih,2019,153.04,76.26,84.71,236.48,165.6,142.67,191.41,382.23,81.69,59.34,119.21,275.02,270.24,299.24,159.51,250.8,203.46,12.16,5.46,0.37,80.14,3.97
Kota Prabumulih,2020,120.17,58.11,72.89,246.7,182.97,121.38,137.26,359.48,87.4,255.65,198.09,79.03,270.73,230.04,135.6,190.47,71.93,17.35,5.69,0.39,67.58,4.35
Kota Prabumulih,2021,137.54,176.29,103.52,311.27,126.97,181.43,173.09,285.56,64.98,140.05,278.09,288.98,214.76,121.81,186.62,235.22,147.88,14.85,9.8,0.41,77.87,3.57
Kota Prabumulih,2022,135.75,59.02,77.22,281.38,159.13,103.11,129.72,296.97,67.45,81.77,102.67,128.49,102.81,269.94,72.84,215.47,228.33,11.05,8.84,0.46,75.3,4.06
Kota Prabumulih,2023,139.23,67.2,75.14,267.65,185.87,183.91,118.69,309.51,70.81,180.56,205.74,272.1,265.75,62.31,239.16,138.88,214.86,7.73,4.1,0.47,61.05,4.46
Kota Prabumulih,2024,136.12,160.72,90.71,260.0,175.06,201.75,228.16,284.41,71.35,242.5,207.89,200.74,271.52,107.77,195.61,252.21,206.18,18.29,9.54,0.48,75.89,6.32
Kota Pagar Alam,2014,96.72,56.92,46.29,134.03,95.57,100.7,63.28,202.33,95.87,103.96,233.28,256.68,99.16,274.35,96.65,123.68,120.64,13.1,8.91,0.39,69.48,5.07
Kota Pagar Alam,2015,74.23,79.75,44.02,149.15,77.63,93.32,78.62,123.31,87.01,205.72,82.89,296.0,234.36,114.05,97.06,192.8,144.51,9.08,3.04,0.5,84.14,7.66
Kota Pagar Alam,2016,103.73,50.76,50.15,168.38,116.84,84.04,107.03,151.96,68.14,71.34,228.96,122.1,121.63,105.16,96.06,236.35,75.74,19.85,3.18,0.42,76.49,2.25
Kota Pagar Alam,2017,73.21,93.99,38.59,171.37,79.89,85.41,101.05,185.2,67.86,62.92,277.26,290.28,250.66,84.53,64.25,144.74,229.76,7.4,4.2,0.38,78.93,5.02
Kota Pagar Alam,2018,77.52,63.86,39.34,144.19,118.82,114.58,83.16,176.44,68.09,182.84,94.92,147.37,299.31,264.78,196.95,125.69,175.97,5.36,8.84,0.49,63.39,5.51
Kota Pagar Alam,2019,120.6,92.07,45.81,132.36,67.09,101.59,89.9,132.79,67.21,185.16,109.39,146.38,57.51,175.01,260.09,164.84,227.19,13.75,3.08,0.46,67.66,7.52
Kota Pagar Alam,2020,99.46,56.21,61.8,159.31,79.85,107.04,79.62,238.47,70.76,209.36,292.85,135.1,274.34,218.72,54.37,254.49,112.24,10.62,6.85,0.31,70.65,2.29
Kota Pagar Alam,2021,148.45,59.55,50.4,231.62,158.71,90.05,119.22,219.92,84.44,231.52,95.24,185.35,205.66,109.77,62.25,282.48,131.11,18.06,3.58,0.34,78.81,5.44
Kota Pagar Alam,2022,97.59,61.6,43.62,156.56,100.03,75.93,102.78,236.09,67.01,293.96,263.6,88.54,293.35,239.51,193.19,186.27,133.55,16.4,4.08,0.33,66.7,7.12
Kota Pagar Alam,2023,106.89,89.53,40.1,154.41,105.63,128.8,90.57,249.14,87.36,179.08,173.07,188.43,166.25,240.0,254.87,215.37,56.44,8.9,9.2,0.48,67.43,3.45
Kota Pagar Alam,2024,104.22,54.69,61.75,208.7,123.55,134.72,103.16,170.78,100.0,130.74,111.81,185.43,261.85,128.15,131.68,275.82,135.26,16.07,5.52,0.43,66.77,7.26
Kota Lubuk Linggau,2014,38.44,49.49,32.87,92.89,55.17,52.46,62.05,85.75,62.44,248.8,267.69,240.48,65.6,152.67,137.4,74.64,250.83,12.02,7.34,0.38,70.69,2.11
Kota Lubuk Linggau,2015,54.08,46.69,20.77,101.45,58.4,63.04,53.8,123.05,92.9,117.71,161.33,258.41,133.82,102.42,199.09,108.02,274.32,5.24,8.73,0.31,82.25,6.39
Kota Lubuk Linggau,2016,49.87,27.37,34.02,86.82,71.89,42.5,43.39,152.54,68.03,159.74,178.7,160.11,66.75,294.14,118.55,227.23,179.55,15.11,8.93,0.36,76.91,7.6
Kota Lubuk Linggau,2017,62.2,45.88,30.56,94.25,49.51,68.62,47.58,131.33,76.29,69.61,139.81,125.58,293.84,211.4,56.65,255.94,163.88,8.5,7.38,0.45,65.47,5.94
Kota Lubuk Linggau,2018,41.15,40.24,33.65,74.41,63.1,48.81,53.8,140.37,86.42,56.34,198.24,114.83,254.24,283.64,233.81,264.26,57.71,9.98,6.26,0.3,62.04,4.63
Kota Lubuk Linggau,2019,40.24,44.3,27.92,99.77,45.99,50.74,65.14,153.9,81.74,290.66,90.88,98.66,263.14,125.85,206.41,153.78,269.8,5.76,9.23,0.42,74.1,2.27
Kota Lubuk Linggau,2020,46.23,25.5,34.6,101.19,82.88,60.8,49.42,148.25,63.58,259.0,147.77,64.41,284.49,245.47,195.19,72.33,53.25,9.4,6.68,0.44,82.51,7.52
Kota Lubuk Linggau,2021,82.09,57.76,47.64,112.42,49.02,62.28,59.64,162.75,93.69,223.99,292.35,135.61,71.28,241.46,235.42,159.45,286.19,14.51,7.15,0.3,78.22,4.82
Kota Lubuk Linggau,2022,72.82,46.21,29.36,93.35,47.86,80.1,83.9,144.3,84.62,152.24,114.53,117.56,146.4,222.91,218.81,107.68,172.3,6.55,5.81,0.45,79.5,2.17
Kota Lubuk Linggau,2023,41.36,50.13,28.05,93.24,41.89,63.7,76.56,161.92,68.5,93.32,214.18,291.6,67.76,291.41,101.47,122.8,135.48,13.49,6.6,0.32,73.72,6.14
Kota Lubuk Linggau,2024,76.31,42.2,29.44,99.47,62.43,52.07,55.88,188.72,84.76,89.11,131.3,189.43,102.7,148.39,138.12,243.07,281.05,11.66,6.72,0.47,84.89,4.89
Kota Bengkulu,2014,70.74,42.95,37.39,142.47,89.68,70.11,60.41,174.04,70.77,112.56,243.37,136.82,107.34,82.68,81.53,68.88,56.1,6.92,7.05,0.44,77.52,2.75
Kota Bengkulu,2015,106.35,56.78,49.13,148.73,67.38,58.24,72.94,163.88,61.2,187.31,82.72,195.12,167.28,217.93,82.46,256.9,195.36,14.26,8.95,0.34,63.14,3.29
Kota Bengkulu,2016,68.26,60.28,48.84,156.56,66.9,65.12,68.1,195.36,69.25,228.65,292.46,84.8,117.14,232.33,219.05,156.92,187.23,13.17,4.64,0.43,80.5,2.39
Kota Bengkulu,2017,85.25,67.68,35.63,131.33,91.83,108.0,103.0,180.18,66.99,215.05,163.45,161.01,75.24,193.77,264.65,199.02,104.83,15.95,5.55,0.43,71.65,5.45
Kota Bengkulu,2018,102.11,63.39,40.76,174.69,61.26,78.95,63.42,212.0,86.17,119.98,109.01,206.56,91.87,101.7,290.68,72.41,157.22,15.53,5.32,0.44,69.9,5.73
Kota Bengkulu,2019,102.86,64.53,68.43,159.21,79.25,112.08,139.3,194.92,94.06,288.72,68.37,172.22,86.82,176.11,207.09,134.34,213.07,5.93,5.38,0.4,64.05,5.03
Kota Bengkulu,2020,144.51,68.84,49.0,173.66,80.66,136.23,102.34,200.7,66.61,234.47,92.44,150.44,293.27,128.05,96.03,72.43,231.78,14.9,6.09,0.43,61.54,6.9
Kota Bengkulu,2021,153.28,90.74,77.2,169.94,116.7,126.53,124.94,221.4,88.0,188.59,179.94,298.46,239.82,156.87,76.41,290.39,50.18,10.07,3.89,0.38,64.07,7.17
Kota Bengkulu,2022,97.47,45.04,62.58,209.25,150.93,127.15,108.48,290.75,79.48,202.93,134.25,270.08,291.94,211.3,253.21,251.82,284.21,13.1,3.55,0.41,82.7,5.69
Kota Bengkulu,2023,96.33,47.82,42.78,180.79,118.58,80.3,144.13,260.86,75.11,154.9,257.22,205.85,159.94,236.3,194.69,164.91,91.13,13.8,8.8,0.32,71.92,2.08
Kota Bengkulu,2024,153.83,107.97,53.72,247.4,94.58,157.74,165.8,198.05,91.26,111.93,157.72,192.34,119.59,108.06,204.57,105.9,108.4,15.83,3.28,0.38,72.91,6.17
Kota Bandar Lampung,2014,89.01,52.23,48.16,157.04,54.4,105.52,57.81,193.14,74.24,138.99,112.18,205.17,249.57,151.33,245.37,283.36,115.87,9.21,3.93,0.39,76.1,4.51
Kota Bandar Lampung,2015,58.54,61.03,52.8,132.28,67.51,80.07,58.19,202.1,84.57,239.46,204.29,100.33,131.56,117.29,225.82,136.15,59.46,17.4,7.12,0.37,79.99,5.39
Kota Bandar Lampung,2016,107.54,66.64,52.55,153.05,83.29,115.32,90.77,189.07,64.65,53.6,226.69,148.78,124.85,99.66,258.61,90.25,80.76,8.31,7.38,0.41,64.62,5.89
Kota Bandar Lampung,2017,91.43,72.02,43.41,126.9,94.98,61.56,82.17,132.6,70.73,79.02,91.76,59.86,108.13,245.85,64.05,190.79,296.59,7.77,4.42,0.38,61.28,4.1
Kota Bandar Lampung,2018,94.58,61.52,43.26,177.63,71.66,94.2,66.45,134.03,68.95,61.5,91.9,168.89,82.42,277.31,236.88,285.94,128.8,13.61,6.96,0.48,73.95,7.5
Kota Bandar Lampung,2019,77.47,44.18,38.56,161.44,113.86,121.57,77.24,287.51,70.63,60.18,59.17,185.76,114.12,142.56,262.71,50.96,78.83,17.63,5.08,0.32,64.25,2.8
Kota Bandar Lampung,2020,69.69,63.2,38.65,146.31,123.44,104.5,120.93,141.78,66.3,263.87,234.1,106.94,138.83,237.82,121.53,109.53,76.75,10.73,6.88,0.32,60.1,6.03
Kota Bandar Lampung,2021,124.23,68.91,56.36,182.76,77.48,101.04,89.06,166.22,81.94,225.91,215.95,291.01,218.5,274.25,210.11,284.61,229.86,19.35,7.2,0.45,67.88,2.03
Kota Bandar Lampung,2022,88.79,42.85,42.32,200.82,120.42,111.05,105.89,276.01,67.99,168.54,168.66,277.36,65.64,261.53,128.54,92.77,263.64,6.09,4.96,0.37,79.56,7.55
Kota Bandar Lampung,2023,113.31,125.52,83.6,203.19,127.81,128.75,180.68,215.71,100.0,74.46,261.04,230.54,102.63,95.7,289.49,78.31,114.24,16.99,5.34,0.45,70.5,2.68
Kota Bandar Lampung,2024,150.9,107.39,76.84,169.59,139.33,93.87,116.58,255.03,96.23,172.9,251.42,183.35,252.26,289.07,58.36,192.55,55.23,11.04,6.64,0.5,63.38,2.57
Kota Metro,2014,64.6,37.56,55.57,164.19,108.74,113.55,68.9,154.57,66.84,168.37,196.34,267.49,86.73,144.17,194.95,265.46,105.77,15.04,6.39,0.38,68.95,4.0
Kota Metro,2015,94.83,39.81,44.29,153.69,94.52,72.84,104.87,123.41,97.71,93.3,267.07,82.66,135.66,134.81,91.63,169.28,64.13,10.32,8.46,0.41,66.53,4.24
Kota Metro,2016,100.4,83.03,55.57,167.19,95.32,72.58,80.79,181.8,83.6,158.46,101.46,247.63,266.16,65.61,228.06,298.64,75.85,13.99,6.6,0.36,60.16,3.29
Kota Metro,2017,84.25,80.91,33.55,169.39,127.23,76.96,96.44,143.05,91.72,149.63,77.98,81.21,88.73,171.54,93.97,219.79,157.88,14.39,6.85,0.38,73.03,5.51
Kota Metro,2018,88.34,38.59,68.74,190.32,139.62,117.93,133.68,211.16,74.77,203.96,117.44,248.55,70.68,77.25,108.85,68.52,107.48,16.25,9.39,0.41,64.52,4.66
Kota Metro,2019,80.69,50.28,43.97,172.01,106.9,96.03,108.75,145.62,82.03,208.77,64.27,118.94,171.13,112.13,173.59,298.21,178.99,6.32,4.2,0.4,65.35,2.21
Kota Metro,2020,97.57,91.4,35.32,184.6,116.28,125.32,134.67,142.16,67.99,61.33,182.79,269.27,125.6,129.24,278.71,151.97,113.37,7.31,9.2,0.39,74.11,3.92
Kota Metro,2021,135.8,115.8,80.76,220.0,104.11,152.03,84.86,199.14,75.39,143.65,284.15,286.01,190.85,252.21,102.93,121.85,285.13,18.46,4.79,0.34,63.45,6.86
Kota Metro,2022,134.49,105.33,55.54,247.27,157.79,117.68,126.47,216.91,70.08,206.46,59.84,87.2,250.95,268.87,86.06,189.47,276.49,19.65,7.52,0.49,67.58,6.14
Kota Metro,2023,161.32,108.86,89.79,218.67,103.3,152.72,157.98,287.78,83.38,175.78,80.53,165.67,84.29,125.62,239.74,126.08,191.7,8.1,6.53,0.36,70.69,6.35
Kota Metro,2024,157.93,66.26,63.59,205.35,108.47,161.39,172.78,248.0,76.27,264.12,163.05,295.25,195.17,264.67,175.15,71.61,138.61,16.27,9.28,0.47,64.57,6.19
Kota Bandung,2014,158.37,66.51,87.87,249.39,147.64,155.73,213.9,443.56,62.53,214.67,283.47,170.85,176.38,264.31,277.95,50.36,145.29,9.54,9.01,0.47,79.12,3.87
Kota Bandung,2015,205.64,175.8,102.35,283.66,182.56,200.21,183.77,272.5,73.58,90.73,129.04,265.89,86.02,241.16,86.65,162.4,152.96,9.68,8.62,0.47,63.43,2.6
Kota Bandung,2016,181.38,158.65,119.56,383.82,265.59,179.21,253.68,308.94,71.4,67.64,176.81,197.18,206.0,86.67,211.48,259.22,231.89,15.58,8.19,0.44,66.31,3.63
Kota Bandung,2017,168.23,79.68,123.6,356.29,266.14,199.11,168.15,528.64,92.08,210.6,60.39,143.83,118.41,222.58,108.22,193.08,162.91,13.23,4.32,0.44,72.78,6.99
Kota Bandung,2018,211.63,192.48,132.52,392.49,160.13,266.38,242.07,491.67,80.65,56.63,87.09,121.45,171.96,286.26,89.19,299.8,264.18,10.44,9.15,0.45,62.81,7.88
Kota Bandung,2019,272.66,79.09,141.75,387.25,235.8,183.65,180.5,561.42,77.74,196.44,296.66,100.81,70.57,220.64,220.86,121.71,286.02,9.47,8.43,0.38,63.48,4.96
Kota Bandung,2020,205.23,196.13,90.98,313.27,178.63,202.08,191.46,499.67,97.9,285.06,291.28,240.45,164.9,132.9,198.42,120.11,133.99,12.58,6.55,0.33,84.57,2.06
Kota Bandung,2021,158.02,171.24,117.44,355.56,209.38,262.8,176.04,535.96,69.44,193.87,51.23,146.64,126.62,175.14,238.71,89.94,190.17,14.73,5.93,0.39,66.42,2.84
Kota Bandung,2022,272.11,147.64,143.53,538.82,258.15,345.46,241.92,379.41,100.0,147.04,287.95,177.82,255.6,211.43,127.37,91.02,73.76,8.06,5.93,0.34,60.01,3.93
Kota Bandung,2023,365.02,245.93,115.59,419.76,211.35,341.3,381.84,566.39,68.46,210.82,209.78,173.08,64.24,177.64,161.99,121.3,100.12,6.79,6.59,0.37,69.37,5.47
Kota Bandung,2024,319.66,113.56,96.3,556.9,229.27,196.0,221.3,386.46,90.03,164.56,266.98,194.32,154.65,79.99,151.37,248.21,153.37,10.88,8.62,0.37,71.1,2.45
Kota Bekasi,2014,199.22,146.2,54.04,297.32,156.33,212.85,158.74,425.29,65.59,186.4,163.68,266.39,164.61,128.02,296.02,276.44,101.55,16.32,4.74,0.41,84.8,7.66
Kota Bekasi,2015,125.84,138.34,77.15,230.14,160.94,141.59,208.57,306.7,68.36,285.37,178.9,295.18,231.25,250.6,123.06,293.77,269.14,17.41,3.0,0.36,66.03,4.19
Kota Bekasi,2016,122.1,78.54,88.9,261.91,162.01,157.38,214.42,435.57,67.95,146.53,172.21,151.9,193.57,265.35,123.7,108.07,89.57,12.39,5.31,0.32,83.84,7.48
Kota Bekasi,2017,148.72,91.46,75.66,248.04,204.36,128.64,187.37,257.6,88.15,290.3,216.72,256.88,216.8,84.33,138.64,270.32,163.92,6.06,9.37,0.34,80.53,6.68
Kota Bekasi,2018,139.66,188.59,80.79,370.54,151.45,240.22,131.29,391.78,77.26,276.34,84.91,241.13,244.26,288.1,191.15,132.06,201.42,16.54,9.54,0.48,80.49,6.53
Kota Bekasi,2019,175.38,114.68,94.25,347.63,203.76,225.88,169.62,494.67,79.15,98.95,57.49,193.38,265.55,132.21,113.08,78.21,222.97,7.51,5.17,0.4,79.91,5.64
Kota Bekasi,2020,244.13,97.29,114.76,309.69,204.34,209.7,154.26,378.01,80.12,67.34,126.98,289.01,128.47,215.58,278.82,267.51,145.77,19.33,9.68,0.37,61.08,5.76
Kota Bekasi,2021,181.07,188.29,74.21,359.41,144.19,257.68,179.69,461.76,81.17,75.19,226.17,100.12,184.51,237.96,116.42,209.03,267.27,10.14,7.39,0.34,63.65,5.83
Kota Bekasi,2022,330.48,239.11,140.06,483.97,184.23,230.03,226.4,563.76,93.92,54.56,100.46,77.32,260.03,252.99,273.95,91.18,192.08,10.34,4.04,0.42,80.36,5.77
Kota Bekasi,2023,168.0,103.37,91.8,341.24,243.74,237.53,251.65,404.31,75.95,73.61,218.36,263.49,297.36,286.44,75.87,157.46,159.88,17.36,4.43,0.39,80.02,5.32
Kota Bekasi,2024,155.38,193.71,94.0,375.73,143.55,236.6,184.25,295.6,80.62,220.75,292.48,159.79,272.38,128.23,214.14,121.81,66.81,14.15,4.69,0.38,62.01,7.92
Kota Bogor,2014,39.11,50.63,18.05,89.14,40.31,46.93,69.12,83.38,96.26,67.8,73.48,261.74,142.87,264.63,276.75,234.2,166.17,19.49,4.44,0.45,73.67,6.39
Kota Bogor,2015,59.84,39.84,23.02,83.42,73.8,51.13,52.84,135.54,65.44,129.74,218.15,273.27,98.79,82.92,92.19,163.35,255.18,10.08,9.66,0.45,74.94,6.66
Kota Bogor,2016,43.16,31.13,30.12,91.56,71.7,78.91,58.54,110.36,85.91,261.22,160.94,65.61,172.35,226.26,292.08,297.32,203.64,19.42,6.11,0.4,68.79,7.23
Kota Bogor,2017,68.9,55.43,39.78,102.84,62.96,81.18,59.87,157.56,67.6,55.82,267.04,270.87,235.41,235.49,163.22,63.69,258.04,19.11,7.36,0.45,80.13,3.29
Kota Bogor,2018,64.22,25.38,32.27,123.09,66.77,80.51,62.47,150.51,86.88,253.62,94.29,162.08,173.14,219.43,286.43,138.75,173.5,7.8,8.25,0.41,65.1,2.5
Kota Bogor,2019,74.52,41.88,25.91,126.46,73.1,83.41,60.82,125.73,99.12,120.46,223.16,177.61,170.8,113.08,219.21,170.48,79.62,18.47,6.68,0.44,66.3,4.9
Kota Bogor,2020,51.64,32.45,23.0,93.73,90.88,57.1,76.45,169.07,68.39,79.54,259.53,206.65,259.56,268.26,125.4,175.78,53.41,13.26,4.07,0.45,75.01,5.08
Kota Bogor,2021,91.91,76.62,40.86,121.61,85.61,55.49,98.54,116.26,74.46,224.18,286.15,281.6,140.35,92.21,97.08,128.98,125.8,9.92,8.71,0.42,69.84,6.98
Kota Bogor,2022,92.33,41.82,46.54,103.95,88.46,91.98,58.84,142.42,65.68,207.24,220.81,54.78,264.95,63.41,125.93,232.31,224.5,7.48,7.95,0.41,75.88,4.66
Kota Bogor,2023,55.93,24.99,30.51,118.14,85.75,76.93,66.25,180.29,97.03,269.37,174.29,169.21,151.7,229.37,73.25,268.69,247.56,15.79,9.51,0.41,66.47,5.43
Kota Bogor,2024,76.3,27.46,28.79,111.94,69.15,70.75,51.55,121.97,80.61,233.77,204.46,221.93,132.06,168.87,85.97,284.68,123.94,14.26,9.79,0.45,83.07,5.16
Kota Cirebon,2014,72.1,70.57,49.1,157.42,90.11,92.47,80.72,183.8,64.43,250.87,267.23,230.68,163.5,262.27,76.17,251.27,173.91,7.96,8.64,0.34,62.12,2.23
Kota Cirebon,2015,104.94,59.34,40.4,161.88,85.24,122.31,121.67,190.14,65.54,120.51,192.65,223.13,240.61,145.85,155.74,262.65,155.28,9.92,8.16,0.31,71.87,5.69
Kota Cirebon,2016,125.51,33.46,50.74,179.1,97.04,70.93,128.9,198.4,92.47,94.36,57.6,83.61,81.5,92.07,248.89,187.64,152.63,14.21,4.66,0.4,70.73,6.97
Kota Cirebon,2017,71.83,86.85,40.25,142.53,97.72,114.85,68.96,204.77,71.07,237.65,282.74,124.85,99.1,259.11,85.35,256.47,107.84,6.79,3.26,0.31,80.85,2.95
Kota Cirebon,2018,70.07,62.88,61.81,151.67,95.31,69.72,97.15,211.53,91.14,251.71,222.38,139.68,287.86,187.23,82.58,125.88,84.09,13.56,5.33,0.36,62.67,5.57
Kota Cirebon,2019,80.48,92.71,71.96,217.39,136.51,117.17,124.49,188.14,90.39,297.63,219.13,251.11,93.87,97.3,210.86,149.62,99.17,14.46,6.19,0.4,78.94,5.56
Kota Cirebon,2020,97.38,105.26,39.02,183.65,141.33,118.98,114.26,184.68,72.52,153.15,103.92,119.69,191.93,230.1,99.3,129.23,63.83,10.15,8.96,0.41,72.87,2.99
Kota Cirebon,2021,72.63,104.63,49.22,186.1,77.19,120.32,138.15,225.28,72.48,143.0,214.72,102.68,194.83,177.78,74.4,166.85,99.53,6.89,7.07,0.45,70.16,2.74
Kota Cirebon,2022,157.8,133.93,77.69,203.99,125.35,115.03,182.7,336.98,86.86,244.1,148.47,289.36,172.41,201.08,91.71,121.39,52.3,15.15,5.11,0.34,78.91,7.88
Kota Cirebon,2023,106.48,96.99,45.18,202.06,127.57,99.72,172.4,210.05,85.4,135.2,212.81,52.22,211.19,165.22,280.93,290.4,206.81,6.96,4.42,0.45,70.64,4.36
Kota Cirebon,2024,95.06,49.76,67.31,262.25,175.53,101.18,143.23,356.27,71.65,282.69,76.65,299.46,107.46,257.18,255.37,128.21,129.09,10.82,8.81,0.33,83.38,3.36
Kota Depok,2014,100.69,51.85,58.2,136.66,80.01,102.15,106.02,231.75,80.24,264.6,214.46,219.21,188.17,257.39,138.52,74.51,293.29,8.07,8.59,0.45,61.59,3.03
Kota Depok,2015,80.37,50.4,62.12,165.58,107.62,123.84,86.29,225.78,61.45,157.25,299.85,257.12,143.04,227.35,213.96,181.7,98.43,11.52,9.09,0.34,83.69,6.01
Kota Depok,2016,84.93,80.44,44.63,167.02,92.5,111.57,78.66,135.56,98.36,237.72,62.05,123.65,215.42,76.35,184.32,64.27,136.46,9.5,6.32,0.33,68.87,5.66
Kota Depok,2017,71.89,73.65,64.05,146.28,108.63,113.18,96.49,231.3,90.13,238.64,294.29,53.58,85.31,259.71,219.28,77.64,139.46,11.16,6.53,0.3,77.29,5.86
Kota Depok,2018,77.25,64.59,73.61,180.09,111.74,142.09,127.75,235.39,89.46,75.78,151.73,234.47,192.72,217.75,220.67,104.85,52.11,16.97,9.05,0.39,71.88,2.53
Kota Depok,2019,143.61,87.41,39.55,209.05,108.11,78.04,113.16,206.96,85.87,275.64,267.69,258.54,96.32,224.26,207.18,166.09,259.8,18.17,4.43,0.47,73.94,7.36
Kota Depok,2020,134.96,69.31,44.18,169.02,127.16,89.31,81.63,154.56,80.82,176.31,245.6,235.12,119.66,140.75,116.53,158.31,58.0,9.47,8.46,0.39,65.69,4.34
Kota Depok,2021,96.83,104.62,48.79,217.11,107.91,85.67,137.4,212.21,100.0,256.61,191.75,85.71,104.68,269.82,59.75,249.92,285.04,15.65,9.89,0.31,62.42,3.88
Kota Depok,2022,115.92,61.88,47.0,182.85,160.48,102.59,132.73,290.46,80.18,130.01,234.61,238.36,95.71,231.34,163.89,234.87,273.02,11.43,3.19,0.46,60.26,4.77
Kota Depok,2023,180.95,89.16,73.38,236.74,132.77,180.39,181.01,255.34,100.0,273.88,269.63,242.23,256.43,78.15,272.74,156.58,183.88,14.23,9.49,0.49,72.72,4.34
Kota Depok,2024,113.02,128.94,50.5,228.02,113.36,113.05,124.18,353.33,72.51,147.3,151.04,214.64,121.43,151.94,192.37,133.43,185.9,5.82,7.05,0.32,63.86,7.18
